City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Kasungu,MW,-13.0333,33.4833,66.24,76,54,5.19,broken clouds
182,Hobyo,SO,5.3505,48.5268,81.16,76,78,26.11,broken clouds
183,Colares,PT,38.7992,-9.4469,72.34,68,75,25.01,broken clouds
184,Gritsovskiy,RU,54.1376,38.1604,48.79,70,80,6.51,broken clouds
185,Komsomolskiy,UZ,40.4272,71.7189,77.72,38,75,16.11,broken clouds
186,Constitucion,CL,-35.3333,-72.4167,59.09,54,54,8.5,broken clouds
187,Cayenne,GF,4.9333,-52.3333,84.09,1,75,3.44,broken clouds
188,Gewane,ET,10.1664,40.6453,93.33,12,42,8.79,scattered clouds
189,Kangaba,ML,11.9333,-8.4167,93.99,32,82,2.26,broken clouds
190,Narsaq,GL,60.9167,-46.05,50.22,58,19,8.88,few clouds
191,Peniche,PT,39.3558,-9.3811,78.08,78,54,23.94,broken clouds
192,Davila,PH,18.4726,120.5763,80.29,79,100,4.07,overcast clouds
193,Cidreira,BR,-30.1811,-50.2056,64.22,54,1,4.61,clear sky
194,Beringovskiy,RU,63.05,179.3167,32.94,96,93,7.58,overcast clouds
195,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,20.71,scattered clouds
196,Hot Springs,US,34.5037,-93.0552,86.18,76,40,8.05,scattered clouds
197,Chapais,CA,49.7834,-74.8492,51.58,51,61,10.74,broken clouds
198,Grand Gaube,MU,-20.0064,57.6608,75.6,78,3,5.99,light rain
199,Cockburn Town,TC,21.4612,-71.1419,79.99,83,82,18.23,broken clouds
200,Puerto Penasco,MX,31.3167,-113.5333,71.91,76,0,15.99,clear sky
201,San Alberto,CO,7.7611,-73.3922,84.58,74,41,6.42,scattered clouds
202,Anchorage,US,61.2181,-149.9003,54.91,47,0,4.61,clear sky
203,Mogadishu,SO,2.0371,45.3438,80.06,83,100,17.43,overcast clouds
204,Iquitos,PE,-3.7481,-73.2472,84.24,58,75,2.3,broken clouds
205,Imperia,IT,43.9667,7.7833,81.0,84,11,4.14,few clouds
206,Sakakah,SA,29.9697,40.2064,92.77,14,1,21.94,clear sky
207,Iqaluit,CA,63.7506,-68.5145,31.73,100,100,17.0,light snow
208,Lodja,CD,-3.4833,23.4333,76.44,80,100,0.81,overcast clouds
209,Jinchang,CN,38.4953,102.1739,69.19,20,41,1.57,scattered clouds
210,Burnie,AU,-41.0667,145.9167,47.95,89,4,4.29,clear sky
211,Jumla,NP,29.2747,82.1838,52.84,83,97,4.41,overcast clouds
212,Kupang,ID,-10.1667,123.5833,77.31,82,9,10.07,clear sky
213,Lethem,GY,3.3803,-59.7968,73.38,95,100,5.64,overcast clouds
214,Chokurdakh,RU,70.6333,147.9167,32.43,98,100,2.24,overcast clouds
215,Lebu,CL,-37.6167,-73.65,55.58,78,84,8.41,broken clouds
216,Nyurba,RU,63.2842,118.3319,47.41,81,96,3.22,overcast clouds
217,Jagdalpur,IN,19.0667,82.0333,79.07,67,93,11.14,overcast clouds
218,Blagoyevo,RU,63.3667,47.9167,35.33,71,100,9.42,snow
219,Pueblo Bello,CO,8.2041,-76.526,84.7,62,100,2.66,overcast clouds
220,Bonavista,CA,48.6499,-53.1147,49.48,65,23,8.9,few clouds
221,Fare,PF,-16.7,-151.0167,79.88,72,8,10.11,clear sky
222,Aklavik,CA,68.2191,-135.0107,33.8,86,100,6.91,light snow
223,Te Anau,NZ,-45.4167,167.7167,44.6,93,98,4.81,overcast clouds
224,Mirnyy,RU,62.5353,113.9611,53.24,43,100,1.99,overcast clouds
225,Clyde River,CA,70.4692,-68.5914,23.23,86,100,8.05,overcast clouds
226,Ascension,US,30.2169,-90.9001,92.26,68,40,13.8,scattered clouds
227,Mount Isa,AU,-20.7333,139.5,65.97,59,86,5.75,overcast clouds
228,Camacupa,AO,-12.0167,17.4833,66.04,47,4,2.68,clear sky
229,Guanica,PR,17.9716,-66.908,93.52,65,54,5.99,broken clouds
230,Touros,BR,-5.1989,-35.4608,85.84,62,41,13.49,scattered clouds
231,Miandrivazo,MG,-19.5167,45.4667,76.59,51,4,2.98,clear sky
232,Tlucna,CZ,49.7243,13.2353,69.46,44,75,10.36,broken clouds
233,Canhotinho,BR,-8.8822,-36.1911,74.61,83,63,12.5,broken clouds
234,Geraldton,AU,-28.7667,114.6,57.61,88,40,9.22,scattered clouds
235,Alexandria,EG,31.2156,29.9553,69.28,61,2,14.79,clear sky
236,Prescott,US,34.54,-112.4685,69.28,40,0,8.99,clear sky
237,San Patricio,US,28.017,-97.5169,93.29,38,7,18.57,clear sky
238,Kayerkan,RU,69.3497,87.7602,42.53,100,100,4.83,overcast clouds
239,Hasaki,JP,35.7333,140.8333,59.4,89,100,12.44,light rain
240,Leshukonskoye,RU,64.8989,45.7622,35.89,63,100,8.12,overcast clouds
241,Airai,TL,-8.9266,125.4092,58.28,90,28,3.69,scattered clouds
242,Milkovo,RU,54.7167,158.6167,40.15,94,100,1.7,overcast clouds
243,Shingu,JP,33.7333,135.9833,61.27,89,100,4.09,overcast clouds
244,Elko,US,41.0002,-115.5012,51.64,31,0,8.01,clear sky
245,Port Elizabeth,ZA,-33.918,25.5701,61.32,81,20,4.61,few clouds
246,San Cristobal,VE,7.7669,-72.225,73.58,40,14,10.33,few clouds
247,Sorland,NO,67.667,12.6934,46.26,86,38,8.99,scattered clouds
248,Talnakh,RU,69.4865,88.3972,43.21,99,100,4.18,overcast clouds
